person_id,primary_role,name,courtesy_name,pseudonym,other_names,choronym,birth_death,period_ref,authority_ids,source_book,source_chapter,source_text
meso_jing_hao,画家,荆浩,浩然,洪谷子,"[""耕生""]",河南沁水,"{""birth"": null, ""death"": null, ""period_ref"": ""时期_五代""}",时期_五代,{},《笔法记·荆浩》.md,物理页面 第 7 页,〔2〕荆浩——五代梁时河南沁水人，字浩然。因唐末中原战乱，隐于山西太行山之洪谷，所以自号洪谷子。博通经史，是中古杰出的山水画家。汤垕以为他的山水“为唐末之冠”。他曾对人说：吴道子山水，有笔而无墨；项容之画有墨而无笔。于是他要吸取前辈各家之长，来创立自己的新风格。
meso_xie_he,鉴赏者,谢赫,未详,未详,[],未详,"{""birth"": null, ""death"": null, ""period_ref"": ""自古""}",自古,{},《笔法记·荆浩》.md,物理页面 第 5 页,叟曰：“得之者少。谢赫品陆之为胜今已难遇亲踪；张僧繇所遗之图，甚亏其理。夫随类赋彩，自古有能，如水量墨章，兴吾唐代。故张璪员外树石，气韵俱盛，笔墨积微。真思卓然，不贵五彩，旷古绝今，未之有也。曲庭与白云尊师，气象幽妙，俱得其元，动用逸常，深不可测。王右丞笔墨宛丽，气韵高清，巧写象成，亦动真思。李将军理深思远，笔迹甚精，虽巧而华，大亏墨彩。项容山人树石顽涩，稜角无取𨃬，用墨独得玄门，用笔全无其骨。然于放逸，不失真元气象，元大剏巧媚。吴道…
meso_lu_tanwei,画家,陆探微,未详,未详,[],未详,"{""birth"": null, ""death"": null, ""period_ref"": ""自古""}",自古,{},《笔法记·荆浩》.md,物理页面 第 14 页,这里所谓“笔绝而不断”，即是笔已断，而意不断，所以说笔未有断。郭若虚《图画见闻志》中说陆探微“作一笔画，连绵不断”，王概《芥子
meso_zhang_sengyou,画家,张僧繇,未详,未详,[],吴兴,"{""birth"": null, ""death"": null, ""period_ref"": ""自古""}",自古,{},《笔法记·荆浩》.md,物理页面 第 5 页,叟曰：“得之者少。谢赫品陆之为胜今已难遇亲踪；张僧繇所遗之图，甚亏其理。夫随类赋彩，自古有能，如水量墨章，兴吾唐代。故张璪员外树石，气韵俱盛，笔墨积微。真思卓然，不贵五彩，旷古绝今，未之有也。曲庭与白云尊师，气象幽妙，俱得其元，动用逸常，深不可测。王右丞笔墨宛丽，气韵高清，巧写象成，亦动真思。李将军理深思远，笔迹甚精，虽巧而华，大亏墨彩。项容山人树石顽涩，稜角无取𨃬，用墨独得玄门，用笔全无其骨。然于放逸，不失真元气象，元大剏巧媚。吴道…
meso_zhang_zao,画家,张璪,文通,张员外,"[""张洽"",""张王洽""]",吴郡,"{""birth"": null, ""death"": null, ""period_ref"": ""时期_中晚唐""}",时期_中晚唐,{},《笔法记·荆浩》.md,前    言,"(一)关于山水画的表现要求。作者提出了气、韵、思、景、笔、墨等“六要”。这个“六要”,包涵了绘画的一般要求,也论及山水画的构思、构图以及笔墨等技法问题。作者并强调的指出,山水画必须以“真”为表现的准则。他认为“真者”,才能使所画“气质俱盛”。有关这些,都是作者本着丰富的艺术实践,根据自己甘苦之得的经验总结出来的,也正是具体地丰富和发展了张璪所谓“外师造化,中得心源”的创作理论。"
meso_wang_wei,画家,王维,摩诘,王右丞,[],未详,"{""birth"": null, ""death"": null, ""period_ref"": ""时期_盛唐""}",时期_盛唐,{},《笔法记·荆浩》.md,物理页面 第 5 页,叟曰：“得之者少。谢赫品陆之为胜今已难遇亲踪；张僧繇所遗之图，甚亏其理。夫随类赋彩，自古有能，如水量墨章，兴吾唐代。故张璪员外树石，气韵俱盛，笔墨积微。真思卓然，不贵五彩，旷古绝今，未之有也。曲庭与白云尊师，气象幽妙，俱得其元，动用逸常，深不可测。王右丞笔墨宛丽，气韵高清，巧写象成，亦动真思。李将军理深思远，笔迹甚精，虽巧而华，大亏墨彩。项容山人树石顽涩，稜角无取𨃬，用墨独得玄门，用笔全无其骨。然于放逸，不失真元气象，元大剏巧媚。吴道…
meso_li_sixun,画家,李思训,建,李将军,"[""小李将军（李昭道）""]",未详,"{""birth"": null, ""death"": null, ""period_ref"": ""时期_盛唐""}",时期_盛唐,{},《笔法记·荆浩》.md,物理页面 第 5 页,叟曰：“得之者少。谢赫品陆之为胜今已难遇亲踪；张僧繇所遗之图，甚亏其理。夫随类赋彩，自古有能，如水量墨章，兴吾唐代。故张璪员外树石，气韵俱盛，笔墨积微。真思卓然，不贵五彩，旷古绝今，未之有也。曲庭与白云尊师，气象幽妙，俱得其元，动用逸常，深不可测。王右丞笔墨宛丽，气韵高清，巧写象成，亦动真思。李将军理深思远，笔迹甚精，虽巧而华，大亏墨彩。项容山人树石顽涩，稜角无取𨃬，用墨独得玄门，用笔全无其骨。然于放逸，不失真元气象，元大剏巧媚。吴道…
meso_li_zhaodao,画家,李昭道,希诣,小李将军,[],未详,"{""birth"": null, ""death"": null, ""period_ref"": ""时期_盛唐""}",时期_盛唐,{},《笔法记·荆浩》.md,物理页面 第 17 页,〔88〕李将军——即李思训。字建，开元初，官左武卫大将军，故称“李将军”。（其子昭道，时称小李将军。）是唐代杰出的山水画家。所画山水，用笔遒劲，设以青绿，金碧辉映，画史上称其“为一家法”，成为传统山水画的一种重要的样式。此后宋之赵伯驹、伯骕皆师承其法，与王维山水风格不同，董其昌称为山水画北宗之祖。生平事略可参看《唐书·本传》、《唐朝名画录》及《历代名画记》。
meso_guan_tong,画家,关同,未详,未详,[],未详,"{""birth"": null, ""death"": null, ""period_ref"": ""时期_五代""}",时期_五代,{},《笔法记·荆浩》.md,物理页面 第 7 页,〔2〕荆浩——五代梁时河南沁水人，字浩然。因唐末中原战乱，隐于山西太行山之洪谷，所以自号洪谷子。博通经史，是中古杰出的山水画家。汤垕以为他的山水“为唐末之冠”。他曾对人说：吴道子山水，有笔而无墨；项容之画有墨而无笔。于是他要吸取前辈各家之长，来创立自己的新风格。荆浩的山水画，米芾在《画史》中说是“云中山顶，四面峻厚”，今传他所作的《匡庐图》，也可以窥见其创作的一斑。据说邺都青莲寺和尙曾向荆浩乞画，并作了一首诗道：“六幅故牢建，知君恣笔纵。不求千涧水，止要两株松。树下留盘石，天边纵远峰，近岩幽湿处，惟藉笔墨浓。”荆浩并以诗答道：“恣意纵横扫，峰峦次第成。笔尖寒树瘦，墨淡野云轻。嵒石喷泉窄，山根到水平，禅房时一展，兼称若空情。”从而也可知其绘画创作的特点。历来画评中，称其所画，皴钩布置，笔意森然，无凝滞之迹。他的作品影响颇大，当时关同即师法于他，北宋李成、范宽的绘画，都与荆浩有渊源关系。荆浩除专精山水外，亦工佛像，曾于开封双林院宝陀落山画观音白衣菩萨。相传他所著的《山水诀》，即现今通行的《笔法记》。
meso_li_cheng,画家,李成,咸熙,未详,[],未详,"{""birth"": null, ""death"": null, ""period_ref"": ""时期_北宋""}",时期_北宋,{},《笔法记·荆浩》.md,物理页面 第 7 页,〔2〕荆浩——五代梁时河南沁水人，字浩然。因唐末中原战乱，隐于山西太行山之洪谷，所以自号洪谷子。博通经史，是中古杰出的山水画家。汤垕以为他的山水“为唐末之冠”。他曾对人说：吴道子山水，有笔而无墨；项容之画有墨而无笔。于是他要吸取前辈各家之长，来创立自己的新风格。荆浩的山水画，米芾在《画史》中说是“云中山顶，四面峻厚”，今传他所作的《匡庐图》，也可以窥见其创作的一斑。据说邺都青莲寺和尙曾向荆浩乞画，并作了一首诗道：“六幅故牢建，知君恣笔纵。不求千涧水，止要两株松。树下留盘石，天边纵远峰，近岩幽湿处，惟藉笔墨浓。”荆浩并以诗答道：“恣意纵横扫，峰峦次第成。笔尖寒树瘦，墨淡野云轻。嵒石喷泉窄，山根到水平，禅房时一展，兼称若空情。”从而也可知其绘画创作的特点。历来画评中，称其所画，皴钩布置，笔意森然，无凝滞之迹。他的作品影响颇大，当时关同即师法于他，北宋李成、范宽的绘画，都与荆浩有渊源关系。荆浩除专精山水外，亦工佛像，曾于开封双林院宝陀落山画观音白衣菩萨。相传他所著的《山水诀》，即现今通行的《笔法记》。
meso_fan_kuan,画家,范宽,中立,未详,[],未详,"{""birth"": null, ""death"": null, ""period_ref"": ""时期_北宋""}",时期_北宋,{},《笔法记·荆浩》.md,物理页面 第 7 页,〔2〕荆浩——五代梁时河南沁水人，字浩然。因唐末中原战乱，隐于山西太行山之洪谷，所以自号洪谷子。博通经史，是中古杰出的山水画家。汤垕以为他的山水“为唐末之冠”。他曾对人说：吴道子山水，有笔而无墨；项容之画有墨而无笔。于是他要吸取前辈各家之长，来创立自己的新风格。荆浩的山水画，米芾在《画史》中说是“云中山顶，四面峻厚”，今传他所作的《匡庐图》，也可以窥见其创作的一斑。据说邺都青莲寺和尙曾向荆浩乞画，并作了一首诗道：“六幅故牢建，知君恣笔纵。不求千涧水，止要两株松。树下留盘石，天边纵远峰，近岩幽湿处，惟藉笔墨浓。”荆浩并以诗答道：“恣意纵横扫，峰峦次第成。笔尖寒树瘦，墨淡野云轻。嵒石喷泉窄，山根到水平，禅房时一展，兼称若空情。”从而也可知其绘画创作的特点。历来画评中，称其所画，皴钩布置，笔意森然，无凝滞之迹。他的作品影响颇大，当时关同即师法于他，北宋李成、范宽的绘画，都与荆浩有渊源关系。荆浩除专精山水外，亦工佛像，曾于开封双林院宝陀落山画观音白衣菩萨。相传他所著的《山水诀》，即现今通行的《笔法记》。
meso_zhao_boju,画家,赵伯驹,千里,未详,[],未详,"{""birth"": null, ""death"": null, ""period_ref"": ""时期_北宋""}",时期_北宋,{},《笔法记·荆浩》.md,物理页面 第 17 页,〔88〕李将军——即李思训。字建，开元初，官左武卫大将军，故称“李将军”。（其子昭道，时称小李将军。）是唐代杰出的山水画家。所画山水，用笔遒劲，设以青绿，金碧辉映，画史上称其“为一家法”，成为传统山水画的一种重要的样式。此后宋之赵伯驹、伯骕皆师承其法，与王维山水风格不同，董其昌称为山水画北宗之祖。生平事略可参看《唐书·本传》、《唐朝名画录》及《历代名画记》。
meso_zhao_bosu,画家,赵伯肃,希远,未详,[],未详,"{""birth"": null, ""death"": null, ""period_ref"": ""时期_北宋""}",时期_北宋,{},《笔法记·荆浩》.md,物理页面 第 17 页,〔88〕李将军——即李思训。字建，开元初，官左武卫大将军，故称“李将军”。（其子昭道，时称小李将军。）是唐代杰出的山水画家。所画山水，用笔遒劲，设以青绿，金碧辉映，画史上称其“为一家法”，成为传统山水画的一种重要的样式。此后宋之赵伯驹、伯骕皆师承其法，与王维山水风格不同，董其昌称为山水画北宗之祖。生平事略可参看《唐书·本传》、《唐朝名画录》及《历代名画记》。
meso_xiang_rong,画家,项容,未详,项容山人,[],未详,"{""birth"": null, ""death"": null, ""period_ref"": ""时期_中晚唐""}",时期_中晚唐,{},《笔法记·荆浩》.md,物理页面 第 5 页,叟曰：“得之者少。谢赫品陆之为胜今已难遇亲踪；张僧繇所遗之图，甚亏其理。夫随类赋彩，自古有能，如水量墨章，兴吾唐代。故张璪员外树石，气韵俱盛，笔墨积微。真思卓然，不贵五彩，旷古绝今，未之有也。曲庭与白云尊师，气象幽妙，俱得其元，动用逸常，深不可测。王右丞笔墨宛丽，气韵高清，巧写象成，亦动真思。李将军理深思远，笔迹甚精，虽巧而华，大亏墨彩。项容山人树石顽涩，稜角无取𨃬，用墨独得玄门，用笔全无其骨。然于放逸，不失真元气象，元大剏巧媚。吴道…
meso_wu_daozi,画家,吴道子,道子,未详,"[""道玄""]",河南阳翟,"{""birth"": null, ""death"": null, ""period_ref"": ""时期_盛唐""}",时期_盛唐,{},《笔法记·荆浩》.md,物理页面 第 5 页,叟曰：“得之者少。谢赫品陆之为胜今已难遇亲踪；张僧繇所遗之图，甚亏其理。夫随类赋彩，自古有能，如水量墨章，兴吾唐代。故张璪员外树石，气韵俱盛，笔墨积微。真思卓然，不贵五彩，旷古绝今，未之有也。曲庭与白云尊师，气象幽妙，俱得其元，动用逸常，深不可测。王右丞笔墨宛丽，气韵高清，巧写象成，亦动真思。李将军理深思远，笔迹甚精，虽巧而华，大亏墨彩。项容山人树石顽涩，稜角无取𨃬，用墨独得玄门，用笔全无其骨。然于放逸，不失真元气象，元大剏巧媚。吴道…
meso_chen_tan,画家,陈鐔,玄成,陈员外,[],未详,"{""birth"": null, ""death"": null, ""period_ref"": ""时期_中晚唐""}",时期_中晚唐,{},《笔法记·荆浩》.md,物理页面 第 5 页,叟曰：“得之者少。谢赫品陆之为胜今已难遇亲踪；张僧繇所遗之图，甚亏其理。夫随类赋彩，自古有能，如水量墨章，兴吾唐代。故张璪员外树石，气韵俱盛，笔墨积微。真思卓然，不贵五彩，旷古绝今，未之有也。曲庭与白云尊师，气象幽妙，俱得其元，动用逸常，深不可测。王右丞笔墨宛丽，气韵高清，巧写象成，亦动真思。李将军理深思远，笔迹甚精，虽巧而华，大亏墨彩。项容山人树石顽涩，稜角无取𨃬，用墨独得玄门，用笔全无其骨。然于放逸，不失真元气象，元大剏巧媚。吴道…
meso_dao_fen,画家,道芬,未详,未详,"[""僧道芬""]",未详,"{""birth"": null, ""death"": null, ""period_ref"": ""时期_中晚唐""}",时期_中晚唐,{},《笔法记·荆浩》.md,物理页面 第 5 页,叟曰：“得之者少。谢赫品陆之为胜今已难遇亲踪；张僧繇所遗之图，甚亏其理。夫随类赋彩，自古有能，如水量墨章，兴吾唐代。故张璪员外树石，气韵俱盛，笔墨积微。真思卓然，不贵五彩，旷古绝今，未之有也。曲庭与白云尊师，气象幽妙，俱得其元，动用逸常，深不可测。王右丞笔墨宛丽，气韵高清，巧写象成，亦动真思。李将军理深思远，笔迹甚精，虽巧而华，大亏墨彩。项容山人树石顽涩，稜角无取𨃬，用墨独得玄门，用笔全无其骨。然于放逸，不失真元气象，元大剏巧媚。吴道…
