lit_id,target_ref,source_book,source_chapter,author_ref,quality_rank,quote,source_text
lit_mifu_jinghao_001,荆浩,《画史》,米芾,评价摘录,荆浩的山水画，米芾在《画史》中说是“云中山顶，四面峻厚”，今传他所作的《匡庐图》，也可以窥见其创作的一斑。据说邺都青莲寺和尙曾向荆浩乞画，并作了一首诗道：“六幅故牢建，知君恣笔纵。不求千涧水，,《笔法记·荆浩》.md,物理页面 第 7 页
lit_tanghou_jinghao_001,荆浩,《画鉴》（引文）,汤垕,评价摘录,〔2〕荆浩——五代梁时河南沁水人，字浩然。因唐末中原战乱，隐于山西太行山之洪谷，所以自号洪谷子。博通经史，是中古杰出的山水画家。汤垕以为他的山水“为唐末之冠”。他曾对人说：吴道子山水，有笔而无墨；项容之画有墨而无笔。于是他要吸取前辈各家之长，来创立自己的新风格。,《笔法记·荆浩》.md,物理页面 第 7 页
lit_guoruoxu_lutanwei_001,陆探微,《图画见闻志》（引文）,郭若虚,评价摘录,这里所谓“笔绝而不断”，即是笔已断，而意不断，所以说笔未有断。郭若虚《图画见闻志》中说陆探微“作一笔画，连绵不断”，王概《芥子,《笔法记·荆浩》.md,物理页面 第 14 页
lit_sou_zhangzao_001,张璪,《笔法记》,叟,正面,叟曰：“得之者少。谢赫品陆之为胜今已难遇亲踪；张僧繇所遗之图，甚亏其理。夫随类赋彩，自古有能，如水量墨章，兴吾唐代。故张璪员外树石，气韵俱盛，笔墨积微。真思卓然，不贵五彩，旷古绝今，未之有也。曲庭与白云尊师，气象幽妙，俱得其元，动用逸常，深不可测。王右丞笔墨宛丽，气韵高清，巧写象成，亦动真思。李将军理深思远，笔迹甚精，虽巧而华，大亏墨彩。项容山人树石顽涩，稜角无取𨃬，用墨独得玄门，用笔全无其骨。然于放逸，不失真元气象，元大剏巧媚。吴道子笔胜于象，骨气自高，树不言图，亦恨无墨。陈员外及僧道芬以下，粗昇凡格，作用无奇，笔墨之行，甚有形迹。今示子之径，不能备词。”,《笔法记·荆浩》.md,物理页面 第 5 页
lit_sou_wangwei_001,王维,《笔法记》,叟,正面,叟曰：“得之者少。谢赫品陆之为胜今已难遇亲踪；张僧繇所遗之图，甚亏其理。夫随类赋彩，自古有能，如水量墨章，兴吾唐代。故张璪员外树石，气韵俱盛，笔墨积微。真思卓然，不贵五彩，旷古绝今，未之有也。曲庭与白云尊师，气象幽妙，俱得其元，动用逸常，深不可测。王右丞笔墨宛丽，气韵高清，巧写象成，亦动真思。李将军理深思远，笔迹甚精，虽巧而华，大亏墨彩。项容山人树石顽涩，稜角无取𨃬，用墨独得玄门，用笔全无其骨。然于放逸，不失真元气象，元大剏巧媚。吴道子笔胜于象，骨气自高，树不言图，亦恨无墨。陈员外及僧道芬以下，粗昇凡格，作用无奇，笔墨之行，甚有形迹。今示子之径，不能备词。”,《笔法记·荆浩》.md,物理页面 第 5 页
lit_sou_lisixun_001,李思训,《笔法记》,叟,负面,叟曰：“得之者少。谢赫品陆之为胜今已难遇亲踪；张僧繇所遗之图，甚亏其理。夫随类赋彩，自古有能，如水量墨章，兴吾唐代。故张璪员外树石，气韵俱盛，笔墨积微。真思卓然，不贵五彩，旷古绝今，未之有也。曲庭与白云尊师，气象幽妙，俱得其元，动用逸常，深不可测。王右丞笔墨宛丽，气韵高清，巧写象成，亦动真思。李将军理深思远，笔迹甚精，虽巧而华，大亏墨彩。项容山人树石顽涩，稜角无取𨃬，用墨独得玄门，用笔全无其骨。然于放逸，不失真元气象，元大剏巧媚。吴道子笔胜于象，骨气自高，树不言图，亦恨无墨。陈员外及僧道芬以下，粗昇凡格，作用无奇，笔墨之行，甚有形迹。今示子之径，不能备词。”,《笔法记·荆浩》.md,物理页面 第 5 页
lit_sou_xiangrong_001,项容,《笔法记》,叟,负面,叟曰：“得之者少。谢赫品陆之为胜今已难遇亲踪；张僧繇所遗之图，甚亏其理。夫随类赋彩，自古有能，如水量墨章，兴吾唐代。故张璪员外树石，气韵俱盛，笔墨积微。真思卓然，不贵五彩，旷古绝今，未之有也。曲庭与白云尊师，气象幽妙，俱得其元，动用逸常，深不可测。王右丞笔墨宛丽，气韵高清，巧写象成，亦动真思。李将军理深思远，笔迹甚精，虽巧而华，大亏墨彩。项容山人树石顽涩，稜角无取𨃬，用墨独得玄门，用笔全无其骨。然于放逸，不失真元气象，元大剏巧媚。吴道子笔胜于象，骨气自高，树不言图，亦恨无墨。陈员外及僧道芬以下，粗昇凡格，作用无奇，笔墨之行，甚有形迹。今示子之径，不能备词。”,《笔法记·荆浩》.md,物理页面 第 5 页
lit_sou_wudaozi_001,吴道子,《笔法记》,叟,正面/缺憾并陈,叟曰：“得之者少。谢赫品陆之为胜今已难遇亲踪；张僧繇所遗之图，甚亏其理。夫随类赋彩，自古有能，如水量墨章，兴吾唐代。故张璪员外树石，气韵俱盛，笔墨积微。真思卓然，不贵五彩，旷古绝今，未之有也。曲庭与白云尊师，气象幽妙，俱得其元，动用逸常，深不可测。王右丞笔墨宛丽，气韵高清，巧写象成，亦动真思。李将军理深思远，笔迹甚精，虽巧而华，大亏墨彩。项容山人树石顽涩，稜角无取𨃬，用墨独得玄门，用笔全无其骨。然于放逸，不失真元气象，元大剏巧媚。吴道子笔胜于象，骨气自高，树不言图，亦恨无墨。陈员外及僧道芬以下，粗昇凡格，作用无奇，笔墨之行，甚有形迹。今示子之径，不能备词。”,《笔法记·荆浩》.md,物理页面 第 5 页
lit_bifaji_yisongtu_001,《异松图》,《笔法记》,叟,负面,遂取前写者《异松图》以呈之。叟曰：“肉笔无法，筋骨皆不相转，异松何之能用。我既教子笔法。”乃斋素数幅，令对而写之。叟曰：“尔之手，我之心。吾闻察其言而知其行，子能与我言咏之乎？”谢曰：“乃知教化，圣贤之职也，禄与不禄，而不能去，善恶之迹，感而应之。诱进若此，敢不恭命。”因成《古松赞》曰：,《笔法记·荆浩》.md,物理页面 第 6 页
lit_bifaji_kuanglutu_001,《匡庐图》,《画史》（引文）,米芾,评价摘录,荆浩的山水画，米芾在《画史》中说是“云中山顶，四面峻厚”，今传他所作的《匡庐图》，也可以窥见其创作的一斑。据说邺都青莲寺和尙曾向荆浩乞画，并作了一首诗道：“六幅故牢建，知君恣笔纵。不求千涧水，,《笔法记·荆浩》.md,物理页面 第 7 页
